sample	Genome	Mean	Relative_Abundance_Perc	Trimmed_Mean	Covered_Bases	Variance	Length	Read_Count	Reads_per_base	RPKM	TPM
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.9	66.70417	6.6055875	66.1425	1996962	226.92844	1997214	890719	0.44598076	25.98667	76834.06
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.8	50.293076	4.9804277	48.69589	2342648	710.55774	2342648	793299	0.33863345	19.731693	58340.152
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	Salinibacter_ruber	0.31732064	0.03142366	0	1994	507.75577	3587328	15485	0.0043165833	0.25152126	743.6657
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	Trichoderma_reesei	0.008352194	0.00082710193	0	23304	0.2710305	33395712	5812	0.00017403431	0.010140735	29.982836
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.4	34.376133	3.4042034	33.915493	4117248	163.9604	4118142	946259	0.22977814	13.388849	39586.438
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.11	41.37671	4.0974574	41.243145	3223332	46.587288	3223332	889687	0.2760147	16.082987	47552.117
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.7	77.69921	7.6944056	77.044655	1818370	462.82635	1818370	942557	0.5183527	30.203682	89302.38
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.10	50.28768	4.9798937	50.162445	2813834	63.162872	2814009	944562	0.33566418	19.55868	57828.605
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.15	48.57567	4.810356	48.52638	2981986	99.3503	2982135	966530	0.32410672	18.885242	55837.47
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.3	50.349804	4.986046	50.112556	2724501	67.14158	2724501	915081	0.33587104	19.570732	57864.246
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.6	75.35874	7.4626336	74.95606	1758415	160.0691	1758582	887947	0.50492215	29.421103	86988.54
1_depth10000000_spike0.00000_and_bins-allseqs_via_minimap2-sr	bin.2	32.92258	3.2602606	30.499388	5056904	306.62714	5057163	1121874	0.22183861	12.926224	38218.6
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	unmapped	NA	14.108109	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.5	41.608738	4.1204004	41.514107	3343416	43.760525	3343496	928602	0.27773383	16.18316	47846.867
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.13	58.88283	5.8310075	58.432487	2374164	93.88381	2374251	933251	0.39307174	22.90374	67716.836
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.1	142.52914	14.114276	142.67677	4290022	1630.6228	4295777	4112397	0.9573116	55.7812	164921.8
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.12	68.366234	6.7701235	68.30042	2054938	70.473404	2054948	936858	0.4559035	26.564857	78541.234
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.14	27.696838	2.742743	27.605026	5037921	28.664156	5037921	931126	0.18482347	10.769403	31840.652
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.9	66.70398	6.605515	66.14239	1996963	226.79172	1997214	890717	0.44597974	25.986614	76831.6
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.8	50.2884	4.979924	48.691128	2342648	710.2183	2342648	793219	0.33859932	19.729704	58332.54
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	Trichoderma_reesei_other	0.00875884	0.00086736423	0	20955	0.28309065	29638724	5288	0.00017841524	0.010396006	30.736654
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.4	34.376617	3.4042234	33.915462	4117249	164.07385	4118142	946277	0.2297825	13.389104	39586.01
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	Haloarcula_hispanica_primary	0	0	0	0	0	3025665	0	0	0	0
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	Salinibacter_ruber_other	0	0	0	0	0	35505	0	0	0	0
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.11	41.377903	4.097542	41.243565	3223332	46.613056	3223332	889712	0.27602246	16.08344	47552.05
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.7	77.699135	7.694335	77.04532	1818370	462.8495	1818370	942557	0.5183527	30.203682	89299.72
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.10	50.287712	4.979856	50.16213	2813834	63.066013	2814009	944564	0.33566487	19.55872	57827.008
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.15	48.57484	4.810235	48.525684	2981986	99.38072	2982135	966518	0.3241027	18.88501	55835.125
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.3	50.34972	4.9859967	50.11267	2724501	67.20423	2724501	915076	0.33586922	19.570627	57862.203
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	Trichoderma_reesei_primary	0.0051271827	0.00050773105	0	2431	0.15645477	3756989	523	0.00013920722	0.008111409	23.982058
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.6	75.358826	7.4625807	74.95593	1758415	160.12938	1758582	887949	0.5049233	29.421167	86986.17
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	Haloarcula_hispanica_other	0	0	0	0	0	871226	0	0	0	0
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	bin.2	32.92046	3.2600243	30.49994	5056896	306.40103	5057163	1121788	0.2218216	12.925233	38214.54
1_depth10000000_spike0.00000_and_bins-primaryseq_via_minimap2-sr	Salinibacter_ruber_primary	0.32035157	0.03172355	0	1994	512.55286	3551823	15482	0.0043588886	0.2539863	750.9318
1_depth10000000_spike0.00000_and_mock-allseqs_via_minimap2-sr	unmapped	NA	99.81847	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_mock-allseqs_via_minimap2-sr	Haloarcula_hispanica	0.015820783	0.004453852	0	1660	1.2756413	3896891	824	0.00021145062	5.829582	25056.281
1_depth10000000_spike0.00000_and_mock-allseqs_via_minimap2-sr	Salinibacter_ruber	0.6196573	0.17444532	0	2871	1357.6041	3587328	28801	0.008028538	221.34258	951358.5
1_depth10000000_spike0.00000_and_mock-allseqs_via_minimap2-sr	Trichoderma_reesei	0.009359677	0.0026349272	0	24489	0.33705467	33395712	6647	0.00019903753	5.4873605	23585.363
1_depth10000000_spike0.00000_and_mock-primaryseq_via_minimap2-sr	unmapped	NA	99.81847	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_mock-primaryseq_via_minimap2-sr	Trichoderma_reesei_other	0.009750391	0.0025872767	0	21574	0.35077783	29638724	6019	0.00020307892	5.5987787	22527.943
1_depth10000000_spike0.00000_and_mock-primaryseq_via_minimap2-sr	Haloarcula_hispanica_primary	0.011504818	0.0030528156	0	1097	0.8956539	3025665	502	0.00016591394	4.57416	18405.158
1_depth10000000_spike0.00000_and_mock-primaryseq_via_minimap2-sr	Salinibacter_ruber_other	0	0	0	0	0	35505	0	0	0	0
1_depth10000000_spike0.00000_and_mock-primaryseq_via_minimap2-sr	Trichoderma_reesei_primary	0.006196965	0.0016443711	0	2573	0.22674514	3756989	628	0.00016715513	4.6083794	18542.844
1_depth10000000_spike0.00000_and_mock-primaryseq_via_minimap2-sr	Haloarcula_hispanica_other	0.030850217	0.008186137	0	637	2.5276928	871226	322	0.0003695941	10.189515	40999.8
1_depth10000000_spike0.00000_and_mock-primaryseq_via_minimap2-sr	Salinibacter_ruber_primary	0.62582564	0.16606349	0	2871	1371.1144	3551823	28801	0.008108794	223.55518	899524.6
1_depth10000000_spike0.00000_and_spike-allseqs_via_bwa-mem	unmapped	NA	99.552185	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_spike-allseqs_via_bwa-mem	Haloarcula_hispanica	0.037685238	0.012289498	0	4461	2.7860482	3896891	2526	0.00064820907	7.2444205	29816.336
1_depth10000000_spike0.00000_and_spike-allseqs_via_bwa-mem	Salinibacter_ruber	1.3189838	0.4301326	0	10239	3719.922	3587328	74305	0.020713188	231.49176	952765.6
1_depth10000000_spike0.00000_and_spike-allseqs_via_bwa-mem	Trichoderma_reesei	0.016535355	0.0053923293	0	43361	0.65455794	33395712	12646	0.00037867136	4.2320523	17418.135
1_depth10000000_spike0.00000_and_spike-primaryseq_via_bwa-mem	unmapped	NA	99.552185	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_spike-primaryseq_via_bwa-mem	Trichoderma_reesei_other	0.017176172	0.0052829827	0	38519	0.6898605	29638724	11500	0.0003880059	4.3363757	16803.271
1_depth10000000_spike0.00000_and_spike-primaryseq_via_bwa-mem	Haloarcula_hispanica_primary	0.029675609	0.0091275135	0	3236	2.0895522	3025665	1736	0.00057375815	6.412354	24847.586
1_depth10000000_spike0.00000_and_spike-primaryseq_via_bwa-mem	Salinibacter_ruber_other	0	0	0	0	0	35505	0	0	0	0
1_depth10000000_spike0.00000_and_spike-primaryseq_via_bwa-mem	Trichoderma_reesei_primary	0.011522985	0.0035441965	0	4778	0.3697522	3756989	1153	0.00030689468	3.4298723	13290.606
1_depth10000000_spike0.00000_and_spike-primaryseq_via_bwa-mem	Haloarcula_hispanica_other	0.065490805	0.020143418	0	1225	5.1909075	871226	787	0.00090332475	10.095609	39120.035
1_depth10000000_spike0.00000_and_spike-primaryseq_via_bwa-mem	Salinibacter_ruber_primary	1.3320804	0.40971634	0	10239	3756.883	3551823	74301	0.020919116	233.79323	905938.4
1_depth10000000_spike0.00000_and_assembly-allseqs_via_bwa-mem	unmapped	NA	99.552185	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_assembly-allseqs_via_bwa-mem	Haloarcula_hispanica	0.037685238	0.012289498	0	4461	2.7860482	3896891	2526	0.00064820907	7.2444205	29816.336
1_depth10000000_spike0.00000_and_assembly-allseqs_via_bwa-mem	Salinibacter_ruber	1.3189838	0.4301326	0	10239	3719.922	3587328	74305	0.020713188	231.49176	952765.6
1_depth10000000_spike0.00000_and_assembly-allseqs_via_bwa-mem	Trichoderma_reesei	0.016535355	0.0053923293	0	43361	0.65455794	33395712	12646	0.00037867136	4.2320523	17418.135
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_bwa-mem	unmapped	NA	99.552185	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_bwa-mem	Trichoderma_reesei_other	0.017176172	0.0052829827	0	38519	0.6898605	29638724	11500	0.0003880059	4.3363757	16803.271
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_bwa-mem	Haloarcula_hispanica_primary	0.029675609	0.0091275135	0	3236	2.0895522	3025665	1736	0.00057375815	6.412354	24847.586
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_bwa-mem	Salinibacter_ruber_other	0	0	0	0	0	35505	0	0	0	0
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_bwa-mem	Trichoderma_reesei_primary	0.011522985	0.0035441965	0	4778	0.3697522	3756989	1153	0.00030689468	3.4298723	13290.606
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_bwa-mem	Haloarcula_hispanica_other	0.065490805	0.020143418	0	1225	5.1909075	871226	787	0.00090332475	10.095609	39120.035
1_depth10000000_spike0.00000_and_assembly-primaryseq_via_bwa-mem	Salinibacter_ruber_primary	1.3320804	0.40971634	0	10239	3756.883	3551823	74301	0.020919116	233.79323	905938.4
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	unmapped	NA	13.719088	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.5	41.61823	4.1319833	41.518215	3343390	44.14888	3343496	929093	0.2778807	16.118713	47710.08
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.13	58.909103	5.848674	58.43811	2374150	95.975365	2374251	934113	0.39343482	22.82153	67549.875
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.1	143.46411	14.24355	143.01457	4288962	2141.496	4295777	4153753	0.9669387	56.088123	166016.28
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	Haloarcula_hispanica	0.000008983247	0.000000891884	0	35	0.00000898317	3896891	1	0.0000002566148	0.000014885168	0.0440589
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.12	68.37604	6.78858	68.301285	2054938	72.65943	2054948	937211	0.45607528	26.455046	78304.78
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.14	27.716526	2.7517807	27.609854	5037817	29.805794	5037921	932537	0.18510354	10.737092	31780.918
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.9	66.76708	6.628838	66.14867	1996924	242.61073	1997214	892535	0.44689003	25.922245	76727.74
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.8	50.486435	5.012446	48.721573	2342647	765.37634	2342648	797879	0.3405885	19.756134	58476.55
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	Salinibacter_ruber	0.45573384	0.04524663	0	2223	865.3027	3587328	22987	0.006407833	0.37169197	1100.1777
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	Trichoderma_reesei	0.011624254	0.0011540911	0	28651	0.44387746	33395712	8080	0.00024194723	0.014034361	41.54055
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.4	34.3905	3.414393	33.91695	4117056	166.9107	4118142	947135	0.22999085	13.340819	39487.75
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.11	41.402065	4.1105223	41.24826	3223332	47.937103	3223332	890534	0.27627745	16.025715	47434.81
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.7	77.71654	7.7159333	77.05267	1818238	478.09222	1818370	942834	0.51850504	30.076336	89023.516
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.10	50.301144	4.9940495	50.164104	2813803	67.68223	2814009	945249	0.3359083	19.484655	57672.992
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.15	48.625507	4.8276877	48.53694	2981895	126.0316	2982135	968534	0.32477874	18.839073	55762.13
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.3	50.372917	5.001176	50.114964	2724501	69.935074	2724501	915822	0.33614302	19.498268	57713.293
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.6	75.36284	7.482251	74.9558	1758385	161.1985	1758582	888371	0.50516325	29.302433	86732.82
1_depth10000000_spike0.00000_and_bins-allseqs_via_bwa-mem	bin.2	33.06351	3.2826455	30.517504	5056436	344.21176	5057163	1132966	0.22403193	12.995167	38464.64
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	unmapped	NA	13.719088	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.5	41.61823	4.131923	41.518215	3343390	44.14888	3343496	929093	0.2778807	16.118713	47707.918
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.13	58.909103	5.848589	58.43811	2374150	95.975365	2374251	934113	0.39343482	22.82153	67546.81
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.1	143.46405	14.243338	143.01466	4288962	2141.0537	4295777	4153747	0.9669373	56.08804	166008.55
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.12	68.37604	6.788481	68.301285	2054938	72.65943	2054948	937211	0.45607528	26.455046	78301.234
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.14	27.716526	2.7517402	27.609854	5037817	29.805794	5037921	932537	0.18510354	10.737092	31779.486
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.9	66.767075	6.628741	66.14867	1996924	242.61125	1997214	892535	0.44689003	25.922245	76724.27
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.8	50.486435	5.012373	48.721577	2342647	765.3735	2342648	797879	0.3405885	19.756134	58473.9
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	Trichoderma_reesei_other	0.012133833	0.0012046662	0	25390	0.46955624	29638724	7360	0.00024832378	0.014404237	42.633427
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.4	34.390514	3.4143448	33.916954	4117065	166.91046	4118142	947135	0.22999085	13.340819	39485.96
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	Haloarcula_hispanica_primary	0.000011568279	0.0000011485171	0	35	0.000011568149	3025665	1	0.00000033050586	0.00001917128	0.056742843
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	Salinibacter_ruber_other	0	0	0	0	0	35505	0	0	0	0
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.11	41.402065	4.1104627	41.24826	3223332	47.937103	3223332	890534	0.27627745	16.025715	47432.67
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.7	77.71654	7.7158203	77.05267	1818238	478.09222	1818370	942834	0.51850504	30.076336	89019.484
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.10	50.30112	4.9939747	50.164093	2813801	67.6866	2814009	945249	0.3359083	19.484655	57670.38
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.15	48.62549	4.8276157	48.53694	2981893	125.997406	2982135	968536	0.3247794	18.839111	55759.723
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.3	50.372917	5.001103	50.114964	2724501	69.935074	2724501	915822	0.33614302	19.498268	57710.676
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	Trichoderma_reesei_primary	0.007615711	0.0007560999	0	3199	0.24302542	3756989	720	0.00019164283	0.01111641	32.902172
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.6	75.36284	7.4821415	74.9558	1758385	161.1985	1758582	888371	0.50516325	29.302433	86728.91
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	Haloarcula_hispanica_other	0	0	0	0	0	871226	0	0	0	0
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	bin.2	33.063473	3.282594	30.517517	5056436	344.201	5057163	1132966	0.22403193	12.995167	38462.906
1_depth10000000_spike0.00000_and_bins-primaryseq_via_bwa-mem	Salinibacter_ruber_primary	0.46032307	0.045701604	0	2238	873.89166	3551823	22991	0.006473014	0.3754728	1111.3187
1_depth10000000_spike0.00000_and_mock-allseqs_via_bwa-mem	unmapped	NA	99.552185	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_mock-allseqs_via_bwa-mem	Haloarcula_hispanica	0.037685238	0.012289498	0	4461	2.7860482	3896891	2526	0.00064820907	7.2444205	29816.336
1_depth10000000_spike0.00000_and_mock-allseqs_via_bwa-mem	Salinibacter_ruber	1.3189838	0.4301326	0	10239	3719.922	3587328	74305	0.020713188	231.49176	952765.6
1_depth10000000_spike0.00000_and_mock-allseqs_via_bwa-mem	Trichoderma_reesei	0.016535355	0.0053923293	0	43361	0.65455794	33395712	12646	0.00037867136	4.2320523	17418.135
1_depth10000000_spike0.00000_and_mock-primaryseq_via_bwa-mem	unmapped	NA	99.552185	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00000_and_mock-primaryseq_via_bwa-mem	Trichoderma_reesei_other	0.017176172	0.0052829827	0	38519	0.6898605	29638724	11500	0.0003880059	4.3363757	16803.271
1_depth10000000_spike0.00000_and_mock-primaryseq_via_bwa-mem	Haloarcula_hispanica_primary	0.029675609	0.0091275135	0	3236	2.0895522	3025665	1736	0.00057375815	6.412354	24847.586
1_depth10000000_spike0.00000_and_mock-primaryseq_via_bwa-mem	Salinibacter_ruber_other	0	0	0	0	0	35505	0	0	0	0
1_depth10000000_spike0.00000_and_mock-primaryseq_via_bwa-mem	Trichoderma_reesei_primary	0.011522985	0.0035441965	0	4778	0.3697522	3756989	1153	0.00030689468	3.4298723	13290.606
1_depth10000000_spike0.00000_and_mock-primaryseq_via_bwa-mem	Haloarcula_hispanica_other	0.065490805	0.020143418	0	1225	5.1909075	871226	787	0.00090332475	10.095609	39120.035
1_depth10000000_spike0.00000_and_mock-primaryseq_via_bwa-mem	Salinibacter_ruber_primary	1.3320804	0.40971634	0	10239	3756.883	3551823	74301	0.020919116	233.79323	905938.4
1_depth10000000_spike0.00001_and_spike-allseqs_via_minimap2-sr	unmapped	NA	99.81748	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00001_and_spike-allseqs_via_minimap2-sr	Haloarcula_hispanica	0.018353032	0.005150203	0	11606	1.2922994	3896891	890	0.00022838719	6.262674	26945.865
1_depth10000000_spike0.00001_and_spike-allseqs_via_minimap2-sr	Salinibacter_ruber	0.6223966	0.1746561	0	12771	1357.5826	3587328	28865	0.008046378	220.64218	949337.9
1_depth10000000_spike0.00001_and_spike-allseqs_via_minimap2-sr	Trichoderma_reesei	0.00965308	0.0027088344	0	34106	0.33671987	33395712	6713	0.00020101383	5.5120606	23716.273
1_depth10000000_spike0.00001_and_spike-primaryseq_via_minimap2-sr	unmapped	NA	99.81748	NA	NA	NA	NA	NA	NA	NA	NA
1_depth10000000_spike0.00001_and_spike-primaryseq_via_minimap2-sr	Trichoderma_reesei_other	0.010096558	0.0025968496	0	30426	0.3535261	29638724	6096	0.00020567687	5.639927	22398.209
1_depth10000000_spike0.00001_and_spike-primaryseq_via_minimap2-sr	Haloarcula_hispanica_primary	0.013778481	0.0035438456	0	8587	0.87617594	3025665	547	0.00018078671	4.9574065	19687.676
1_depth10000000_spike0.00001_and_spike-primaryseq_via_minimap2-sr	Salinibacter_ruber_other	0.016970726	0.0043648956	0	600	0.016683191	35505	4	0.000112660186	3.089289	12268.7
1_depth10000000_spike0.00001_and_spike-primaryseq_via_minimap2-sr	Trichoderma_reesei_primary	0.0061565056	0.0015834622	0	3247	0.22900552	3756989	617	0.00016422725	4.5033255	17884.355
